Time_s,Speed_kmh,GPS_Lat,GPS_Lon,GPS_Alt,Lidar_Points,Min_Distance_m
0.5,29.96,-0.0004163405409656207,-0.0004687555847026792,0.0019714736845344305,267,5.0
1.0,29.89,-0.00045223809615890787,-0.0004686253662700752,0.001961936941370368,303,5.0
1.5,28.71,-0.0004885290138219034,-0.00046850738151653424,0.0020787047687917948,306,5.0
2.0,28.46,-0.0005254175312643383,-0.00046839964289755874,0.0021073531825095415,304,5.0
2.5,28.91,-0.0005619167641697231,-0.000468296736067793,0.002064285334199667,320,5.0
3.0,29.24,-0.000598480763585485,-0.00046819328094989,0.002028350718319416,329,5.0
3.5,29.27,-0.0006352898135304486,-0.0004680902713160985,0.0020244598854333162,357,5.0
4.0,29.17,-0.0006723420292757964,-0.0004679857538899295,0.002036208985373378,357,5.0
4.6,29.1,-0.000709289247836864,-0.0004678819903599493,0.0020426176488399506,314,5.0
5.1,29.07,-0.0007460291449348233,-0.00046777911779819213,0.0020464323461055756,235,5.0
5.6,29.09,-0.0007825470539017942,-0.000467679672037293,0.0020431899465620518,277,5.0
6.1,26.89,-0.0008186111173245081,-0.00046758019200838526,0.0021289063151925802,325,5.0
6.6,25.05,-0.0008507047522385847,-0.00046748931324963106,0.0021310425363481045,276,5.0
7.1,23.4,-0.0008815333493004118,-0.00046740059337541746,0.0021207809913903475,316,4.99
7.6,21.85,-0.0009100409741904514,-0.0004673182816188083,0.0021112821996212006,315,4.89
8.1,20.33,-0.0009367047060493405,-0.00046724162408361483,0.002108077984303236,315,4.86
8.6,4.84,-0.0009591666317874115,-0.0004671770974234587,0.002672920236364007,285,5.01
9.1,0.01,-0.0009595542029501303,-0.00046717596657917554,0.0020709990058094263,279,5.01
9.6,0.0,-0.0009595549568501838,-0.00046717596657917554,0.001982803223654628,244,5.0
10.1,0.0,-0.0009595549568501838,-0.00046717596657917554,0.001982803223654628,292,5.0
10.6,0.0,-0.0009595550939280884,-0.00046717596657917554,0.0017649459186941385,241,5.0
11.1,9.1,-0.0009643672132852998,-0.0004671625677878208,0.0015942382160574198,229,4.99
11.6,19.09,-0.0009819772687507111,-0.00046711239942325965,0.001662521273829043,196,4.99
12.1,11.17,-0.0009978529517553625,-0.00046716349302405245,0.0019217681838199496,293,5.0
12.6,17.25,-0.0010173307507699292,-0.00046748581791275593,0.0017663192702457309,241,5.0
13.1,15.03,-0.001036894493950058,-0.00046786386258341046,0.0019605255220085382,282,5.0
13.6,19.99,-0.0010575937418337844,-0.000469327791909948,0.0018995284335687757,230,4.99
14.1,29.07,-0.0010874236320859154,-0.0004767094636381656,0.0016743087908253074,176,4.98
14.6,28.35,-0.0011188676140676534,-0.000495129820434241,0.0021235274616628885,212,4.97
15.1,28.6,-0.0011415444002125241,-0.0005234779619960278,0.0021349715534597635,267,4.97
15.6,29.06,-0.0011553309683449697,-0.0005570197972062079,0.0020745848305523396,341,4.98
16.1,29.31,-0.001160749700005681,-0.0005923417869261018,0.00203704833984375,365,4.98
16.7,29.37,-0.0011578981904705188,-0.0006288140508900004,0.002031211741268635,370,4.99
17.2,29.05,-0.0011481117269909191,-0.0006640604111149582,0.0020537185482680798,386,4.99
17.7,28.83,-0.001134411788370926,-0.0006977478510935948,0.0020709228701889515,334,4.99
18.2,28.96,-0.0011168441566979936,-0.0007304639301010226,0.0020568084437400103,345,5.0
18.7,29.28,-0.0010960074255450536,-0.0007607539711730209,0.002027435228228569,365,5.0
19.2,29.23,-0.0010715204661408961,-0.0007888004857232866,0.002032127231359482,475,4.71
19.7,28.93,-0.0010442175673688325,-0.000813470984604268,0.0020622634328901768,458,4.71
